SITENAME,Plot,Date,Salinity,NandN,NO2,NH4,SRP,DOC,NO3
SRS1b,2,2001-11-01,0.0,0.16,0.16,7.03,0.00,1336.667,0
SRS1b,3,2001-11-01,0.0,0.14,0.14,10.69,0.00,1361.667,0
SRS1b,1,2002-01-01,0.0,0.84,0.22,16.13,0.62,1360.000,0.62
SRS1b,2,2002-01-01,0.0,0.96,0.29,6.84,0.67,1372.500,0.67
SRS1b,3,2002-01-01,0.0,0.72,0.24,-9999.00,0.48,1335.833,0.48
SRS1b,1,2003-11-01,0.0,0.53,0.45,27.18,0.08,1373.333,0.08
SRS1b,2,2003-11-01,0.0,1.20,0.24,7.55,0.96,1337.500,0.96
SRS1b,3,2003-11-01,0.0,0.19,0.14,12.75,0.05,1254.167,0.05
SRS1b,1,2004-01-01,0.0,0.41,0.41,9.91,0.00,1549.167,0
SRS1b,2,2004-01-01,0.0,0.28,0.28,16.35,0.00,1348.333,0
SRS1b,3,2004-01-01,0.0,0.73,0.73,19.47,0.00,1442.500,0
SRS1b,1,2004-11-01,0.0,0.51,0.96,3.24,0.00,1482.500,0
SRS1b,3,2004-11-01,0.0,0.23,0.51,2.68,0.00,1489.167,0
SRS1c,1,2005-12-01,0.0,0.00,0.00,108.07,0.00,1793.333,0
SRS1c,2,2005-12-01,0.0,0.00,0.00,138.08,0.00,2245.833,0
SRS1c,3,2005-12-01,0.0,0.27,0.27,126.38,0.00,1880.833,0
SRS1c,1,2006-01-01,0.0,0.07,0.03,93.01,0.04,1619.167,0.04
SRS1c,2,2006-01-01,0.0,1.46,0.16,97.94,1.30,1887.500,1.3
SRS1c,3,2006-01-01,0.0,0.13,0.13,143.36,0.00,1986.667,0
SRS1d,1,2006-11-01,0.0,0.19,0.01,135.25,0.17,1210.833,0.17
SRS1d,2,2006-11-01,0.0,0.43,0.01,102.09,0.41,1365.000,0.41
SRS1d,3,2006-11-01,0.0,0.29,0.01,99.08,0.28,681.750,0.28
SRS1d,1,2007-01-01,0.0,0.16,0.03,132.60,0.13,2548.333,0.13
SRS1d,2,2007-01-01,0.0,0.42,0.02,125.87,0.40,3021.667,0.4
SRS1d,1,2009-01-01,0.0,0.32,0.21,185.13,0.11,2143.667,0.11
SRS1d,2,2009-01-01,0.0,0.31,0.22,149.42,0.09,2012.000,0.09
SRS1d,3,2009-01-01,0.0,0.14,0.08,299.86,0.06,2632.000,0.06
SRS1d,1,2009-02-01,0.0,0.35,0.35,214.58,0.00,2019.167,0
SRS1d,2,2009-02-01,0.0,0.36,0.33,145.18,0.04,2165.833,0.04
SRS1d,1,2009-11-01,0.0,0.48,0.13,156.45,0.35,3170.500,0.35
SRS1d,2,2009-11-01,0.0,0.30,0.27,140.57,0.04,3405.500,0.04
SRS1d,3,2009-11-01,0.0,0.74,-9999.00,67.49,0.04,2572.167,0.04
SRS1d,1,2010-01-01,0.0,0.34,0.00,74.09,0.34,1982.500,0.34
SRS1d,2,2010-01-01,0.0,0.24,0.00,44.66,0.24,1695.000,0.24
SRS1d,3,2010-01-01,0.0,0.22,0.13,7.13,0.10,1420.000,0.1
SRS1d,1,2010-11-01,0.0,1.81,0.20,86.01,1.61,2030.833,1.61
SRS1d,2,2010-11-01,0.0,2.44,0.89,58.51,1.55,2170.833,1.55
SRS1d,3,2010-11-01,0.0,0.95,0.59,65.08,0.36,1817.500,0.36
SRS1d,1,2011-01-01,0.0,0.88,0.10,20.13,0.78,1616.000,0.78
SRS1d,2,2011-01-01,0.0,0.75,0.13,7.33,0.62,1164.000,0.62
SRS1d,3,2011-01-01,0.0,0.65,0.19,36.75,0.46,1067.667,0.46
SRS1d,1,2011-11-01,0.0,0.39,0.15,180.25,0.24,2890.667,0.24
SRS1d,2,2011-11-01,0.0,0.58,0.25,146.72,0.33,2932.333,0.33
SRS1d,3,2011-11-01,0.0,1.45,1.08,102.61,0.36,3362.333,0.36
SRS1d,1,2012-01-01,0.0,0.56,0.28,325.88,0.28,2335.000,0.28
SRS1d,2,2012-01-01,0.0,0.22,0.13,149.21,0.09,2670.000,0.09
SRS1d,3,2012-01-01,0.0,1.07,0.17,87.87,0.91,2708.333,0.91
SRS1d,1,2012-11-01,0.0,0.57,0.16,322.10,0.41,1336.667,0.41
SRS1d,2,2012-11-01,0.0,0.55,0.38,81.55,0.17,1005.000,0.17
SRS1d,3,2012-11-01,0.0,0.90,0.23,121.40,0.67,967.500,0.67
SRS1d,1,2013-01-01,0.0,0.66,0.45,268.07,0.22,2568.167,0.22
SRS1d,2,2013-01-01,0.0,0.48,0.27,127.11,0.21,2171.500,0.21
SRS1d,3,2013-01-01,0.0,0.43,0.25,100.97,0.18,2015.833,0.18
SRS2,1,2001-01-01,0.0,-9999.00,0.06,123.81,0.09,2191.667,0.09
SRS2,2,2001-01-01,0.0,-9999.00,0.07,83.26,0.28,1706.667,0.28
SRS2,1,2001-11-01,0.0,0.66,0.66,48.37,0.00,1891.667,0
SRS2,2,2001-11-01,0.0,0.52,0.52,85.03,0.00,1905.000,0
SRS2,3,2001-11-01,0.0,0.79,0.78,131.89,0.01,2698.333,0.01
SRS2,2,2002-01-01,0.0,1.04,0.80,35.09,0.24,2116.250,0.24
SRS2,3,2002-01-01,0.0,1.80,0.83,124.19,0.97,2194.167,0.97
SRS2,1,2003-11-01,0.0,1.15,0.73,120.04,0.42,2370.000,0.42
SRS2,2,2003-11-01,0.0,0.38,0.32,60.44,0.06,1827.500,0.06
SRS2,3,2003-11-01,0.0,0.33,0.23,64.90,0.10,1570.833,0.1
SRS2,1,2004-01-01,0.0,0.96,0.96,-9999.00,0.00,1760.833,0
SRS2,2,2004-01-01,0.0,1.35,0.56,-9999.00,0.78,2148.750,0.78
SRS2,3,2004-01-01,0.0,1.19,1.19,-9999.00,0.00,2168.333,0
SRS2,1,2004-11-01,0.0,1.10,0.00,89.01,1.10,2931.667,1.1
SRS2,2,2004-11-01,0.0,1.04,0.23,157.63,0.81,3520.833,0.81
SRS2,3,2004-11-01,0.0,0.65,1.52,130.45,0.00,1797.500,0
SRS2,-9999,2005-01-01,0.0,1.73,0.87,98.02,0.86,1933.333,0.86
SRS2,-9999,2005-01-01,0.0,0.73,0.19,131.91,0.54,3043.333,0.54
SRS2,-9999,2005-01-01,0.0,1.79,0.20,86.55,1.59,2523.333,1.59
SRS2,1,2005-12-01,0.0,1.22,1.21,194.49,0.01,2558.333,0.01
SRS2,2,2005-12-01,0.0,0.00,0.00,134.75,0.00,2211.667,0
SRS2,3,2005-12-01,0.0,0.37,0.21,63.07,0.16,1927.500,0.16
SRS2,1,2006-01-01,0.0,0.60,0.60,47.50,0.00,-9999.000,0
SRS2,2,2006-01-01,0.0,0.93,1.09,138.03,0.00,-9999.000,0
SRS2,3,2006-01-01,0.0,0.98,1.26,228.43,0.00,-9999.000,0
SRS2,1,2006-11-01,0.0,0.09,0.21,97.61,0.00,841.667,0
SRS2,2,2006-11-01,0.0,0.24,0.32,172.97,0.00,1274.167,0
SRS2,3,2006-11-01,0.0,1.06,1.12,123.82,0.00,1520.833,0
SRS2,1,2007-01-01,0.0,0.26,0.16,88.75,0.11,3495.000,0.11
SRS2,2,2007-01-01,0.0,0.21,0.11,242.18,0.11,2826.667,0.11
SRS2,3,2007-01-01,0.0,0.26,0.26,206.57,0.00,1737.500,0
SRS2,1,2009-01-01,0.0,0.35,0.31,102.85,0.03,3315.000,0.03
SRS2,2,2009-01-01,0.0,0.20,0.21,238.18,0.00,2420.833,0
SRS2,3,2009-01-01,0.0,0.73,0.53,425.41,0.20,2400.833,0.2
SRS2,1,2009-02-01,0.0,0.41,0.55,112.85,0.00,3408.333,0
